AGCYTYPE,participant,year,total,arrests_all,arrests_low,population,population2,total_police,officers_total,arrests_per_police,arrests_per_officer,arrests_low_per_police,arrests_low_per_officer,percent_low
(001) Sheriff's office,FALSE,2008,2025,1689758,896791,54194412,1942236084,186150,103862,9.1,16.3,4.8,8.6,53.07
(001) Sheriff's office,FALSE,2009,2174,1728322,926052,56757525,1947865354,191513,107890,9,16,4.8,8.6,53.58
(001) Sheriff's office,FALSE,2010,2183,1704064,914066,58603562,1060465267,192932,108541,8.8,15.7,4.7,8.4,53.64
(001) Sheriff's office,FALSE,2011,2171,1635164,864261,58497348,1059444991,192833,109439,8.5,14.9,4.5,7.9,52.85
(001) Sheriff's office,FALSE,2012,2211,1632515,862954,59899901,1065784980,198392,113050,8.2,14.4,4.3,7.6,52.86
(001) Sheriff's office,FALSE,2013,2139,1542482,823821,58787797,1062603234,195032,112114,7.9,13.8,4.2,7.3,53.41
(001) Sheriff's office,FALSE,2014,2189,1516116,811601,60670561,1066064019,199341,113583,7.6,13.3,4.1,7.1,53.53
(001) Sheriff's office,FALSE,2015,2279,1564641,829116,64326034,1077537033,222266,124009,7,12.6,3.7,6.7,52.99
(001) Sheriff's office,FALSE,2016,2275,1621868,869009,64991114,1089717869,241606,135565,6.7,12,3.6,6.4,53.58
(001) Sheriff's office,FALSE,2017,1982,1659764,893644,62246008,1071081749,236491,133784,7,12.4,3.8,6.7,53.84
(001) Sheriff's office,FALSE,2018,1957,1447143,792832,56838419,1065483913,218720,124169,6.6,11.7,3.6,6.4,54.79
(001) Sheriff's office,FALSE,2019,1772,1494327,819035,59064164,1061378604,224918,125536,6.6,11.9,3.6,6.5,54.81
(001) Sheriff's office,TRUE,2008,30,311424,155434,7510272,32491963,47831,26464,6.5,11.8,3.2,5.9,49.91
(001) Sheriff's office,TRUE,2009,34,334887,166223,7800801,34673344,51504,27795,6.5,12,3.2,6,49.64
(001) Sheriff's office,TRUE,2010,36,322480,157376,9058046,35530645,52266,28367,6.2,11.4,3,5.5,48.8
(001) Sheriff's office,TRUE,2011,34,300437,145499,8806313,35050445,50369,27375,6,11,2.9,5.3,48.43
(001) Sheriff's office,TRUE,2012,34,271811,129557,8768008,31609098,48354,26606,5.6,10.2,2.7,4.9,47.66
(001) Sheriff's office,TRUE,2013,28,234552,109939,8135797,29698632,46281,25017,5.1,9.4,2.4,4.4,46.87
(001) Sheriff's office,TRUE,2014,27,231163,107581,7933787,30397941,46020,25536,5,9.1,2.3,4.2,46.54
(001) Sheriff's office,TRUE,2015,25,197462,96137,7038792,25302204,37441,21900,5.3,9,2.6,4.4,48.69
(001) Sheriff's office,TRUE,2016,27,178040,89967,6311294,15853470,21450,12984,8.3,13.7,4.2,6.9,50.53
(001) Sheriff's office,TRUE,2017,41,216823,106822,8352614,19886788,30419,17749,7.1,12.2,3.5,6,49.27
(001) Sheriff's office,TRUE,2018,52,178320,90256,5950570,13597295,20878,12959,8.5,13.8,4.3,7,50.61
(001) Sheriff's office,TRUE,2019,48,192387,93913,5960202,900365837,20994,12785,9.2,15,4.5,7.3,48.81
